block_id,trip_id,trip_headsign,departure_time,arrival_time
linco006,20171021-71-71350,71C - Union Station,10:40:00,11:55:00
linco006,20171021-71-71460,71C - Union Station,13:30:00,14:50:00
linco006,20171021-71-71491,71C - Lincolnville GO,15:10:00,16:30:00
linco006,20171021-71-71660,71C - Union Station,17:00:00,18:15:00
linco006,20171021-71-71681,71C - Lincolnville GO,18:40:00,20:00:00
linco007,20171021-71-71380,71C - Union Station,11:30:00,12:45:00
linco007,20171021-71-71401,71C - Lincolnville GO,13:10:00,14:30:00
linco011,20171021-71-71680,71C - Union Station,17:30:00,18:45:00
linco011,20171021-71-71701,71C - Lincolnville GO,19:10:00,20:25:00
linco011,20171021-71-71820,71C - Union Station,21:05:00,22:15:00
linco011,20171021-71-71841,71C - Lincolnville GO,22:40:00,23:40:00
linco011,20171021-71-71900,71C - Union Station,24:10:00,25:10:00
linco011,20171021-71-71931,71C - Lincolnville GO,25:40:00,26:40:00
linco012,20171021-71-71720,71C - Union Station,18:30:00,19:45:00
linco012,20171021-71-71761,71C - Lincolnville GO,20:40:00,21:45:00
linco012,20171021-71-71851,71C - Lincolnville GO,23:10:00,24:10:00
linco012,20171021-71-71910,71C - Union Station,25:10:00,26:10:00
linco012,20171021-71-71961,71C - Lincolnville GO,26:40:00,27:40:00
MDDL2105,20171021-25-25392,25C - Square One,10:50:00,12:00:00
MDDL2105,20171021-25-25582,25C - Square One,14:50:00,16:00:00
MDDL2105,20171021-25-25643,25C - U of Waterloo,17:40:00,18:50:00
MDDS3101,20171021-25-25081,25 - U of Waterloo,06:10:00,07:55:00
MDDS3101,20171021-25-25312,25C - Square One,08:50:00,10:00:00
MDDS3101,20171021-25-25432,25C - Square One,11:50:00,13:00:00
oshaw001,20171021-90-90001,90B - Union Station,04:45:00,05:40:00
oshaw001,20171021-90-90220,90C - Newcastle,06:20:00,08:00:00
oshaw001,20171021-90-90141,90 - Oshawa GO,08:36:00,09:26:00
oshaw001,20171021-90-90430,90 - Newcastle,10:16:00,11:06:00
oshaw001,20171021-90-90241,90 - Oshawa GO,11:36:00,12:26:00
oshaw001,20171021-90-90540,90 - Newcastle,12:46:00,13:36:00
oshaw001,20171021-90-90351,90 - Oshawa GO,14:06:00,14:56:00
oshaw005,20171021-92-92070,92 - Yorkdale Term,06:05:00,07:20:00
oshaw005,20171021-92-92181,92 - Oshawa Terminal,07:50:00,09:05:00
oshaw005,20171021-92-92260,92 - Yorkdale Term,09:30:00,10:50:00
oshaw005,20171021-92-92331,92 - Oshawa Terminal,11:20:00,12:40:00
oshaw005,20171021-92-92410,92 - Yorkdale Term,13:25:00,14:55:00
oshaw005,20171021-92-92491,92 - Oshawa Terminal,15:15:00,16:40:00
oshaw006,20171021-92-92100,92 - Yorkdale Term,06:35:00,07:50:00
oshaw006,20171021-92-92211,92 - Oshawa Terminal,08:20:00,09:35:00
oshaw006,20171021-92-92280,92 - Yorkdale Term,10:00:00,11:20:00
oshaw006,20171021-92-92351,92 - Oshawa Terminal,11:50:00,13:10:00
oshaw006,20171021-92-92430,92 - Yorkdale Term,13:55:00,15:25:00
oshaw006,20171021-92-92521,92 - Oshawa Terminal,15:45:00,17:10:00
oshaw007,20171021-92-92130,92 - Yorkdale Term,07:05:00,08:20:00
oshaw007,20171021-92-92231,92 - Oshawa Terminal,08:50:00,10:05:00
oshaw007,20171021-92-92310,92 - Yorkdale Term,11:00:00,12:25:00
oshaw007,20171021-92-92391,92 - Oshawa Terminal,12:50:00,14:10:00
oshaw011,20171021-92-92560,92 - Yorkdale Term,16:30:00,17:55:00
oshaw011,20171021-92-92671,92 - Oshawa Terminal,18:15:00,19:40:00
oshaw011,20171021-52-52860,52 - York U,20:10:00,21:25:00
oshaw011,20171021-52-52891,52 - Oshawa Terminal,21:45:00,23:00:00
oshaw012,20171021-92-92450,92 - Yorkdale Term,14:25:00,15:55:00
oshaw012,20171021-92-92551,92 - Oshawa Terminal,16:15:00,17:40:00
oshaw012,20171021-92-92680,92 - Yorkdale Term,18:35:00,19:55:00
oshaw012,20171021-92-92751,92 - Oshawa Terminal,20:20:00,21:35:00
oshaw013,20171021-92-92470,92 - Yorkdale Term,14:55:00,16:25:00
oshaw013,20171021-92-92581,92 - Oshawa Terminal,16:45:00,18:10:00
oshaw013,20171021-52-52840,52 - York U,19:05:00,20:25:00
oshaw013,20171021-52-52861,52 - Oshawa Terminal,20:45:00,22:00:00
oshaw014,20171021-52-52670,52 - York U,15:05:00,16:25:00
oshaw014,20171021-52-52621,52 - Oshawa Terminal,16:45:00,18:05:00
oshaw014,20171021-92-92700,92 - Yorkdale Term,19:05:00,20:25:00
oshaw014,20171021-92-92771,92 - Oshawa Terminal,20:50:00,22:05:00
oshaw014,20171021-92-92830,92 - Yorkdale Term,22:35:00,23:50:00
oshaw014,20171021-92-92901,92 - Oshawa Terminal,24:50:00,26:00:00
oshaw015,20171021-52-52720,52 - York U,16:05:00,17:25:00
oshaw015,20171021-52-52711,52 - Oshawa Terminal,17:45:00,19:05:00
oshaw018,20171021-90-90980,90B - Oshawa GO,25:20:00,26:15:00
oshaw019,20171021-92-92660,92 - Yorkdale Term,18:00:00,19:25:00
oshaw019,20171021-92-92731,92 - Oshawa Terminal,19:50:00,21:05:00
